                          header                          | occurrences 
 পিতার  নাম                                               |        2364
 স্বামী/স্ত্রী নাম (এনআইডির সাধে মিল থাকতে হবে)              |        2364
 উপকার ভোগীর নাম ইংরেজি এনআইডি মিল থাকতে হবে              |        2328
 ভোক্তার মোবাইল নং                                         |        2300
 উপকার ভোগীর নাম বাংলা                                    |        2260
 স্বামী/স্ত্রী নাম (NID সাথে মিল থাকতে হবে)                  |        2229
 রেজিস্ট্রার্ড ডিলারের মোবাইল নম্বর.1                         |        2227
 রেজিস্টার্ড ডিলারের নাম (NID সাথে মিল থাকতে হবে)           |        2198
 রেজি:ডিলারের মোবাইল নম্বর                                 |        2197
 রেজি:ডিলারের নাম                                         |        2197
 রেজি:ডিলারের এনআইডি নং                                   |        2197
 ভোক্তার                                                  +|        2197
  ধরণ                                                     | 
 Sl No                                                    |        2197
 উপকার ভোগীর নাম (ইংরেজি)                                +|        2184
  (NID সাথে মিল থাকতে হবে)                                | 
 স্বামী/স্ত্রীর নাম (NID)সাথে মিল থাকতে হবে।                 |        2173
 রেজিস্ট্রার্ড ডিলারের এনআইডিনম্বর                            |        2173
 স্বামী/স্ত্রীর জন্ম তারিখ (NID) সাথে মিল থাকতে হবে।          |        2173
 রেজিস্ট্রার্ড ডিলারের নাম (NID) সাথে মিল থাকতে হবে।         |        2173
 উপকারভোগীর নাম (বাংলা)(NID) সাথে মিল থাকতে হবে।          |        2173
 উপকারভোগীর নাম (ইংরেজি)(NID) সাথে মিল থাকতে হবে।         |        2173
 জন্ম তারিখ(NID) সাথে মিল থাকতে হবে।                       |        2173
 ওয়ার্ড                                                   +|        2134
  নং                                                      | 
 উপকারভোগীর নাম (ইংরেজি) NID সাথে মিল থাকতে হবে           |        2103
 জাতীয় পরিচয়পত্র                                           |        2085
 রেজিস্ট্রার্ড ডিলারের নাম (NID এর সাথে                     +|        2066
 মিল থাকতে হবে).1                                         | 
 রেজিস্টার্ড ডিলারের মোবাইল নম্বর                            |        2057
 ডিলারের এনআইডি  নং                                       |        2026
 এনআইডি নং                                                |        2026
 স্বামী/ স্ত্রীর এনআইডি নং                                   |        2026
 dob2                                                     |        2018
 nid1                                                     |        2018
 dob1                                                     |        2018
 nid2                                                     |        2018
 রেজিষ্ট্রার্ড ডিলারের                                      +|        2000
 মোবাইল নম্বর                                              | 
 পিতার                                                   +|        2000
 নাম                                                      | 
 স্বামী/স্ত্রী জাতীয় পরিচয়                                  +|        2000
 পত্র নম্বার                                                | 
 রেজিষ্ট্রার্ড ডিলারের                                      +|        2000
 এন আইডি নম্বার                                            | 
 জন্ম তারিখ                                               +|        2000
 (NID সাথে মিল থাকতে                                     +| 
 হবে                                                      | 
 স্বামী/স্ত্রী নাম                                          +|        2000
 (NID সাথে মিল                                           +| 
 থাকতে হবে)                                               | 
 উপকার ভোগীর নাম                                         +|        2000
 (বাংলা (NID সাথে                                        +| 
 মিল থাকতে হবে)                                           | 
 উপকার ভোগীর নাম                                         +|        2000
 (ইংরেজি) (NID সাথে মিল                                  +| 
  থাকতে হবে)                                              | 
 রেজিষ্ট্রার্ড ডিলারের নাম                                  +|        2000
 (NID সাথে মিল থাকতে                                     +| 
  হবে)                                                    | 
 মোবাইল নাম্বার                                           +|        2000
 (নিজ নামে)                                               | 
  ভোক্তার নাম                                              |        2000
 জাতীয় পরিচয় পত্র নম্বার                                    |        2000
 স্বামী/স্ত্রী জন্ম তারিখ                                    +|        2000
 (NID সাথে মিল                                           +| 
 থাকতে হবে)                                               | 
 জন্ম তারিখ(NID সাথে মিল থাকতে হবে বছর/মাস/দিন)            |        1997
 স্বামী/স্ত্রী জন্ম তারিখ(NID সাথে মিল থাকতে হবে বছর/মাস/দিন) |        1997
 স্বামী/স্ত্রী জাতীয় পরিচয়পত্র নম্বর (10/17 ডিজিট হতে হবে)     |        1997
 জাতীয় পরিচয়পত্র নম্বর (10/17 ডিজিট হতে হবে)                |        1997
 উপকারভোগীর নাম(বাংলা)                                    |        1992
 রেজিস্ট্রার্ড ডিলারের নাম (NID এর সাথে মিল থাকতে হবে)       |        1979
 উপকার ভোগীর নাম (ইংরেজি) (NID এর সাথে মিল থাকতে হবে)     |        1979
 উপকার ভোগীর নাম (বাংলা) (NID এর সাথে মিল থাকতে হবে)      |        1979
 স্বামী/স্ত্রী জন্ম তারিখ (NID এর সাথে মিল থাকতে হবে)         |        1979
 জন্ম তারিখ (NID এর সাথে মিল থাকতে হবে)                    |        1979
 স্বামী/স্ত্রীর নাম (NID এর সাথে মিল থাকতে হবে)              |        1979
 উপকার ভোগীর নাম (ইংরেজি)                                +|        1973
 (NID সাথে মিল থাকতে হবে)                                 | 
 উপকারভোগীর নাম (বাংলা) (NID এর সাথে মিল থাকবে হবে।)      |        1971
  জাতীয় পরিচয়পত্র নম্বর                                     |        1971
 স্বামী/স্ত্রী                                              +|        1969
  জন্ম তারিখ                                               | 
 উপকারভোগীর নাম (ইংরেজিতে) NID সাথে মিল থাকতে হবে)        |        1969
 পিতার নাম/স্বামী                                          |        1966
 জান্ম তারিখ                                               |        1960
 স্বামী-স্ত্রীর জন্ম তারিখ                                    |        1960
 ডিলাররের এইডি নম্বর                                       |        1960
 জন্ম তারিখ (NID এর সাথে মিল থাকবে হবে।)                   |        1937
 স্বামী-স্ত্রী জাতীয় পরিচয়পত্র নম্বর                           |        1932
 স্বামী/ স্ত্রীর জন্ম তারিখ  (NID এর সাথে                    +|        1932
 মিল থাকতে হবে)                                           | 
 স্বামী/স্ত্রী/অভিভাবক নাম                                   |        1927
 উপকারভোগীর নাম বাংলা                                     |        1908
 নাম                                                      |        1897
 ডিলার                                                    |        1897
 জাতীয় পরিচয়পত্র.1                                         |        1897
 ভোক্তার জাতীয় পরিচয়পত্র নং                                 |        1897
 Gender                                                   |        1897
 মোবাইল নং.1                                              |        1897
 Name                                                     |        1897
 Religious                                                |        1897
 ক্র/ নং                                                   |        1895
 রেজিস্টাড ডিলারের এনআইডি নম্বর                             |        1866
 রেজিস্টাড ডিলারের নাম (NID সাথে মিল থাকতে হবে)            |        1866
 রেজিস্টাড ডিলারের মোবাইল নম্বর                             |        1866
 উপকারভোগীর নাম (ইংরেজি)(NID সাথে মিল থাকতে হবে)          |        1866
 রেজিষ্ট্রার্ড ডিলারের                                      +|        1860
 মোবাইল নম্বর                                              | 
 স্বামী/স্ত্রী জাতীয়                                        +|        1860
 পরিচয়পত্র নম্বর                                            | 
 রেজিষ্ট্রার্ড ডিলারের                                      +|        1860
 এনআইডি                                                   | 
 রেজিষ্টার ডিলারের নাম                                     |        1800
 রেজিষ্টার ডিলারের এনআইডি                                  |        1800
 কার্ড                                                     |        1800
 স্বামী/স্ত্রী জাতীয় পরিচয় পত্র নম্বর                          |        1800
 ডিলারের এনআইডি                                           |        1796
 উপকার ভোগীর নাম ইংরেজীতে                                 |        1777
 উপকার ভোগীর নাম ইংরেজি                                   |        1774
 রেজিস্ট্রার্ড ডিলারের  এন আইডি                              |        1774
 এন আইডি নাম্বার                                           |        1774
 জাতয়ি পরিচয় পত্র নং                                       |        1751
 ওয়াড                                                     |        1751
 জেজিষ্টার ডিলারের আইড নং                                  |        1751
 স্বামী/স্ত্রীর জন্ম তারিখ.1                                  |        1751
 জেজিষ্টার ডিলারের মোবাইল নং                               |        1751
 জেজিষ্টার ডিলারের নাম                                     |        1751
 স্বামী/স্ত্রীর জাতয়ি পরিচয় পত্র নং                           |        1751
 মোবাইল নম্বর (নিজ নামে)                                   |        1703
 স্বামী/স্ত্রীর নাম NID সাথে মিল থাকতে হবে                   |        1697
 জন্ম তারিখ (NID সাথে মিল থাকতে হবে).1                     |        1691
 উপকারভোগীর নাম বাংলায় (NID সাথে মিল থাকতে হবে)           |        1677
 মোবাইল নম্বর নিজ নামে                                     |        1677
 রেজিষ্ট্রার্ড ডিলারের নাম                                   |        1651
 র্ধম                                                      |        1641
 কার্ড নং                                                  |        1613
  ওয়ার্ড নং                                                |        1592
 স্বামী/স্ত্রীর জাতীয় পরিচয়পত্র নং                            |        1582
 উপকার ভোগীর নাম ইংরেজি                                   |        1577
 জাতীয় পরিচয়পত্র নাম্বার                                    |        1550
 কার্ড নং.1                                                |        1546
 স্বামী- স্ত্রীর জন্ম তারিখ  (NID এর সাথে                    +|        1546
 মিল থাকতে হবে)                                           | 
 ভোক্তার ধরন                                               |        1542
 রেজিস্টাড ডিলারের নাম ((NID সাথে মিল থাকতে হবে)           |        1505
 রেজিস্টাড ডিলারের NID নম্বর                                |        1505
 রেজিস্টাড ডিলারের মোবাইল নং                               |        1505
 স্পিতা/স্বামীর নাম                                         |        1500
 পিতার                                                   +|        1500
 নাম                                                      | 
 স্বামী/স্ত্রী জন্ম তাং                                       |        1500
 ভোক্তার জন্ম তারিখ                                         |        1500
 রেজিস্ট্রার্ড ডিলারের মোবাইল                               +|        1500
  নম্বর                                                    | 
 স্বামী/স্ত্রী জাতীয় পরিচয়পত্র                               +|        1500
  নম্বর                                                    | 
 উপকার ভোগীর                                             +|        1500
  নাম                                                     | 
 উপকার                                                   +|        1500
 ভোগীর                                                   +| 
  নাম                                                     | 
 স্বামী/স্ত্রী এনআইডি নং                                     |        1500
 রেজিস্ট্রার্ড ডিলারের                                      +|        1500
  নাম                                                     | 
 স্বামী/স্ত্রী                                              +|        1500
 নাম                                                      | 
 মোবাইল                                                  +|        1500
 নং                                                       | 
 জন্ম                                                     +|        1500
 তারিখ                                                    | 
 উপকার ভোগীর ইংরেজি নাম                                   |        1497
 মোবাইল নাম্বার                                            |        1497
 স্বামী/স্ত্রী জাতীয়পরিচয়পত্র নাম্বার                          |        1497
 উপকার ভোগীর নাম (ইংরেজি) NID সাথে মিল থাকতে হবে          |        1479
 মোবাইল নং   (নিজ নামে)                                   |        1477
 ভোক্তার মোবাইল নম্বর                                       |        1472
 ভোক্তার                                                  +|        1456
 (ইংরেজি নাম)                                             | 
 উপকার ভোগীর নাম বাংলায়                                   |        1446
 স্বামী/স্ত্রীর জম্ম তারিথ                                    |        1446
 রেজিষ্টর্ড ডিলারের নাম                                     |        1446
 রেজিষ্টর্ড ডিলারের এন আইডি নং                              |        1446
 রেজিষ্টর্ড ডিলারের মোবাইল নং                               |        1446
 স্বামী /স্ত্রীর জাতীয় নম্বর                                  |        1446
 উপকারভোগী                                               +|        1434
 ইংজেী নাম                                                | 
 রেজিস্ট্রার্ড                                              +|        1434
 ডিলারের নাম                                              | 
 ক্র:                                                     +|        1434
 নং                                                       | 
 উপকারভোগীর নাম                                           |        1434
 উপকারভোগীর নাম (বাংলা)                                   |        1414
  ইউনিয়নের নাম                                            |        1414
 স্বামী/স্ত্রীর জন্ম তারিখ ((NID সাথে মিল থাকতে হবে)          |        1412
 জন্ম তারিখ( NID সাথে মিল থাকতে হবে)                       |        1403
 উপকারভোগীর নাম NID সাথে মিল থাকতে হবে                    |        1403
 রেজিষ্টার ডিলার নাম NID সাথে মিল থাকতে হবে                |        1403
 রেজিষ্টার ডিলার NID নম্বর                                  |        1403
 স্বামী /স্ত্রীর জাতীয় পরিচয়পত্র নম্বর                         |        1403
 স্বামী /স্ত্রীর জন্ম তারিখ (NID সাথে মিল থাকতে হবে)          |        1403
 উপকার ভোগীর নাম ইংরেজি (NID) সাথে মিল থাকতে হবে          |        1397
 স্বামী/স্ত্রীর জাতীয়                                       +|        1384
 পরিচয়পত্র নং                                              | 
 স্বামী/স্ত্রীর  জন্ম তারিখ (NID সাথে মিল থাকতে হবে)          |        1377
 উপকার ভোগীর নাম(English)                                 |        1361
 রেজিষ্ট্রার্ড ডিলারের এনআইডি নম্বর                           |        1300
 উপকারভোগীর নাম (বাংলা) ( NID সাথে মিল থাকতে হবে)         |        1282
 রেজিস্ট্রার্ড ডিলারের নাম ( NID সাথে মিল থাকতে হবে)         |        1282
 জন্ম তারিখ ( NID সাথে মিল থাকতে হবে)                      |        1282
 স্বামী/স্ত্রী নাম ( NID সাথে মিল থাকতে হবে)                 |        1282
 রেজিস্টার্ড ডিলারের জাতীয় পরিচয়পত্র নং                      |        1278
 স্বামী/ স্ত্রীর জাতীয় পরিচয়পত্র নং                           |        1278
  স্বামী/স্ত্রীর নাম(NID সাথে মিল থাকতে হবে)                 |        1261
  স্বামী/স্ত্রীর জন্ম তারিখ(NID সাথে মিল থাকতে হবে)           |        1261
 রেজিস্ট্রার্ডডিলারের NID নম্বর                               |        1261
 জন্ম তারিখ NID সাথে মিল থাকতে হবে                         |        1261
  স্বামী/স্ত্রীর জাতীয় পরিচয়পত্র নম্বর                         |        1261
  মোবাইল নং (নিজ নামে)                                    |        1261
 উপকারভোগীর নাম(বাংলা)NID সাথে মিল থাকতে হবে              |        1261
 উপকার ভোগীর নাম  (বাংলা)                                 |        1250
 উপকার ভোগীর নাম  (ইংরেজি)                                |        1250
 স্বামী/স্ত্রী জম্ম তারিখ                                     |        1249
  রেজিস্ট্রাড ডিলারের নাম                                   |        1249
 রেজিষ্ট্রার্ড                                              +|        1248
 ডিলারের নাম                                              | 
 wj½                                                      |        1248
 উপকারভেগীর নাম (ইংরেজি                                  +|        1248
  (NID সাথে মিল থাকতে হবে)                                | 
 উপকারভোগীর নাম (বাংলা)                                 +|        1248
 (NID সাথে মিল থাকতে হবে)                                +| 
                                                          | 
 Unnamed: 13                                              |        1244
 ধর্ম (ইসলাম, হিন্দু, বৌদ্ধ, খ্রিস্টান ও অন্যান্য)                |        1244
 স্বামী-স্ত্রীর নাম                                          |        1244
 ভোক্তার নাম ইংরেজীতে                                      |        1240
 উপকার ভোগীর নাম ইং                                       |        1236
 স্বামী/স্ত্রী জাতীয় পরিচয়পত্র নং                             |        1215
 স্বামী/স্ত্রীর নাম (স্বামী/স্ত্রীর (NID সাথে মিল থাকতে হবে)    |        1212
 জাতীয়পরিচয়পত্র নম্বর                                       |        1197
 ক্রঃনং                                                    |        1179
 কার্ড নম্বর                                                |        1150
 রেজিষ্টার্ড ডিলারের মোবাইর নম্বর                            |        1114
 ক্রমিক  নং                                                |        1099
 রেজিস্ট্রার্ড ডিলারের  এনআইডি নম্বর                          |        1089
 উপকারভোগীর ইংরেজি নাম                                    |        1089
 রেজিস্ট্রার্ড ডিলারের মোবাইল  নম্বর                          |        1089
 রেজিস্ট্রার্ড ডিলারের নাম (NID এর সাথে মিল থাকতে হবে        |        1072
 স্বামী/স্ত্রীর নাম(NID এর সাথে মিল থাকতে হবে                |        1072
 স্বামী/স্ত্রীর জন্ম তাং (NID এর সাথে মিল থাকতে হবে           |        1072
 উপকারভোগীর নাম (ইংরেজি) (NID এর সাথে মিল থাকতে হবে       |        1072
 উপকারভোগীর নাম (বাংলা) (NID এর সাথে মিল থাকতে হবে        |        1072
 মোবাইল নং (নিজ নাম)                                      |        1072
 জন্ম তারিখ (NID এর সাথে মিল থাকতে হবে                     |        1072
 উপকার ভোগীর নাম (বাংলা) (ঘওউ সাথে মিল থাকতে হবে)         |        1051
 রেজিস্ট্রার্ড ডিলারের নাম (ঘওউ সাথে মিল থাকতে হবে)          |        1051
 জন্ম তারিখ (ঘওউ সাথে মিল থাকতে হবে)                       |        1051
 স্বামী/স্ত্রী জন্ম তারিখ (ঘওউ সাথে মিল থাকতে হবে)            |        1051
 স্বামী/স্ত্রী                                              +|        1030
 জন্ম তারিখ                                                | 
 উপকারভোগীর নাম(ইংরেজিতে) NID সাথে মিল থাকতে হবে          |        1023
 রেজিষ্টার্ড ডিলারের মোবাইল নং                              |        1009
 রেজিস্ট্রার্ড ডিলারেরনাম                                    |        1000
 রেজিষ্ট্রার্ড ডিলারের মোবাইল নম্বর                           |        1000
 গ্রামেরনাম                                                |        1000
 জন্মতারিখ                                                 |         998
 স্বামী/স্ত্রীর NID নং                                       |         992
 স্বামী/স্ত্রীর জন্মতারিখ                                     |         992
 NID নং                                                   |         992
 রেজিষ্টার্ড ডিলারের NID নং                                 |         992
 রেজিষ্টার্ড ডিলারের মোবাইল  নং                             |         992
 উপকারভোগীর নাম (ইংরেজীতে)                                |         987
 `1\+C1`12rtym                                            |         986
 উপকারভোগীর নাম (বাংলা)( NID সাথে মিল থাকতে হবে)          |         982
 স্বামী-স্ত্রীর জাতীয় পরিচয় নম্বর                             |         982
 রেজিষ্টার্ড ডিলারের নাম (NID এর সাথে মিল থাকতে হবে)        |         980
 রেজিস্ট্রার্ড ডিলারের NID নম্বর                              |         980
 স্বামী/স্ত্রীর জাতীয় পরিচয় পত্র                              |         977
 উপকারভোগীর নাম  (বাংলা) (NID সাথে মিল থাকতে হবে)         |         977
 উকারভোগী (ইংরেজীতে ) নাম                                 |         977
 রেজিষ্ট্রার্ড ডিলারের মোবাইল নং                             |         976
 উপকারভোগীর নাম (বাংলা) (NID সায়জে মিল থাকতে হবে)         |         976
 উপকার ভোগীর নাম ইংরেজিতে                                 |         976
 জাতীয় পরিচয়পত্র নম্বর                                      |         976
 স্বামী/স্ত্রীর জাতীয় পরিয়পত্র নম্বর                           |         976
 রেজিষ্ট্রার্ড ডিলারের নাম                                   |         976
 রেজিষ্ট্রার্ড ডিলারের এনআইডি নম্বর                           |         976
 উপকার ভোগীর নাম (ইংরেজীতে) (NID  সাথে মিল থাকতে হবে)     |         944
 স্বামী/স্ত্রী জন্ম তারিখ(NID  সাথে মিল থাকতে হবে)            |         944
 রেজিস্ট্রাড ডিলারের মোবাইল নং                              |         944
 স্বামী/স্ত্রীর নাম (NID  সাথে মিল থাকতে হবে)                |         944
 রেজিস্ট্রাড ডিলারের নাম (NID  সাথে মিল থাকতে হবে           |         944
 জন্ম তারিখ (NID  সাথে মিল থাকতে হবে)                      |         944
 উপকার ভোগীর নাম (বাংলায়) NID সাথে মিল থাকতে হবে)         |         944
 রেজিস্ট্রাড ডিলারের জাতীয় পরিচয়পত্র নম্বর                    |         944
 উপকারভোগীর নাম.1                                         |         918
 স্বামী/স্ত্রীর নাম (NID সাথে মিল থাকতে হবে)                 |         894
 উপকার ভোগীর নাম (বাংলা) ( NID সাথে মিল থাকতে হবে.1       |         890
 রেজিস্ট্রার্ড ডিলারের নাম (NID সাথে মিল থাকতে হবে           |         890
 উপকার ভোগীর নাম (বাংলা) ( NID সাথে মিল থাকতে হবে         |         890
 রেজিস্টার ডিলারের এনআইডি নম্বর                             |         887
 রেজিস্টার ডিলারের মোবাইল নম্বর                             |         887
 রেজিস্টার ডিলারের নাম                                     |         887
 উপকার ভোগীর নাম                                         +|         850
 (ইংরেজি) (NID                                           +| 
 সাথে মিল থাকতে হবে)                                      | 
 স্বামী অথবা স্থীর জন্ম তারিখ                                |         850
 উপকার ভোগীর নাম                                         +|         850
 বাংলা NID                                               +| 
 সাথে মিল থাকতে হবে                                       | 
 স্বামী/স্থীর জাতীয় পরিচয়পত্র নাম্বার                         |         850
 স্বামী/স্থীর নাম                                           |         850
 ভোক্তার মোবাইল নাম্বার                                     |         850
 রেজিষ্টার্ড ডিলারের মোবাইল                                 |         850
 রেজিষ্টার্ড ডিলারের এন আইডি                                |         850
 স্বামী/স্ত্রীর নাম                                         +|         850
 (NID সাথে                                               +| 
 মিল থাকতে                                               +| 
 হবে)                                                    +| 
                                                          | 
 উপকারভোগীর নাম (বাংলা)                                  |         850
 3                                                        |         846
 রেজিস্ট্রার ডিলারের নাম                                    |         834
 রেজিস্ট্রার ডিলারের মোবাইল নম্বর                            |         834
 স্বামী/ স্ত্রী  জাতীয় পরিচয় পত্র নম্বর                        |         834
 রেজিস্ট্রার ডিলারের NID নম্বর                               |         834
 উপকারভোগীর নাম (ইংরেজিতে)                                |         834
 স্বামী/ স্ত্রী  এর জন্মতারিখ                                 |         834
 স্বামী/ স্ত্রী নাম                                          |         834
 উপকার ভোগীর নাম (ইংরেজী)                                 |         815
 জাতীয় পরিচয় পত্র                                          |         812
 উপকার ভোগীর নাম (ইংরেজি) ( NID সাথে মিল থাকতে হবে)       |         812
  ওয়ার্ড নং                                                |         812
 স্বামী/স্ত্রীর জন্মতারিখ                                     |         812
 জাতীয়পরিচয়পত্র নং                                         |         812
 রেজিষ্টার্ড ডিলারের এনআইডি                                 |         812
 রেজিষ্টার্ড ডিলারের NID নম্বর                               |         789
 স্বামিও/স্ত্রী                                              |         786
 রেজিস্টার্ড ডিলারের জাতীয় পরিচয় নম্বর                       |         779
 স্বামী,স্ত্রী জন্ম তারিখ (NID সাথে মিল থাকতে হবে)            |         717
 NID                                                      |         702
 জাতীয় পরিচয়পত্র নম্বর.1                                    |         700
  উপকারভোগীর নাম ইংরেজি                                   |         700
 পিতার নাম                                                |         700
 রেজিষ্ট্রার্ড ডিলারের                                      +|         700
  মোবাইল নং                                               | 
 রেজিষ্ট্রার্ড                                              +|         700
  ডিলারের নাম (NID                                       +| 
  সাথে মিল থাকতে হবে)                                     | 
 রেজিষ্ট্রার্ড ডিলারের                                      +|         700
  এনআইডি নম্বর                                             | 
 স্বামী/স্ত্রীর পরিচয়পত্র                                     |         700
 ইউনিয়ানের                                               +|         700
 নাম                                                      | 
 দোড়া                                                     |         699
 স্বামী/স্ত্রীর জাতীয় পরিচয়পত্র নং                            |         699
 জাতীয় পরিচয়পত্র নং                                        |         699
 ডিলারের এন আই ডি নং                                      |         699
 ডিলারের মোবাইল নং                                        |         699
 মোবাইল নং নিজের নামে রেজিস্ট্রশেন করা                     +|         698
                                                          | 
 স্বামী/স্ত্রী নাম                                          +|         698
 (এনআইডি হতে)                                             | 
 উপকারভোগীর নাম                                          +|         698
  (বাংলা)এনআইডি হতে                                       | 
 ক্রমিক নংং                                                |         697
 জন্ম তারিখ    (NID সাথে মিল থাকতে হবে)                    |         697
 জাতীয় পরিচয়পত্র নম্বর                                      |         690
 নাম ইংরেজিতে                                             |         688
 স্বামী-স্ত্রী নাম                                           |         688
 জন্ম তারিখ (NID সাথে মিল থাকতে হবে)                       |         687
 স্বামী/স্ত্রীর পরিচয়পত্র                                     |         683
 রেজিষ্টার ডিলারের মোবইল নম্বর                              |         683
 রেজিষ্টার ডিলারের এনআইডি নম্বর                             |         683
 রেজিষ্টার ডিলারের নাম                                     |         683
 মোবাই নম্বর                                               |         683
 উপকারভোগীর নাম(ইংরেজী)                                   |         683
 জাতীয়পরিচয়পত্র নম্বর                                       |         683
 ডিলারের এনআইডি নং                                        |         615
  স্বামী/স্ত্রী জাতীয় পরিচয় পত্র নম্বর                         |         615
 লিংঙ্গ                                                    |         612
 উপকার ভোগীর নাম(ইংরেজীত)                                 |         612
 উপকারভোগীর নাম (বাংলা)                                   |         599
 জাতীয় পরিচয় পত্র নং                                       |         595
 উপকার ভোগীর নাম                                         +|         587
 (ইংরেজি) (NID সাথে মিল থাকতে হবে)                        | 
 স্বামী/ স্ত্রীর জাতীয় পরিচয় পত্র নম্বর                        |         585
 ডিলারের এন আইডি নং                                       |         585
 Unnamed: 9                                               |         561
 Unnamed: 8                                               |         561
 Unnamed: 7                                               |         561
 Unnamed: 10                                              |         561
 উপকার ভোগীর নাম ( ইংরেজি)                                |         500
 রেজিষ্টার্ড দিলারের এনআইডি নম্বর                            |         500
 রেজিষ্টার্ড দিলারের নাম                                    |         500
 রেজিষ্টার্ড দিলারের মোবাইল নং                              |         500
 উপকারভোগীর নাম (ইংরেজি) ((NID সাথে মিল থাকতে হবে         |         499
 জন্ম তারিখ ((NID সাথে মিল থাকতে হবে)                      |         499
 স্বামী/স্ত্রীর নাম ((NID সাথে মিল থাকতে হবে)                |         499
 উপকারভোগীর নাম (বাংলা) (NID) সাথে মিল থাকতে হবে          |         499
 উপকার ভোগীর নাম (বাংলা) (NID) সাথে মিল থাকতে হবে         |         499
 রেজিস্ট্রার্ড ডিলারের (NID নম্বর                             |         499
 রেজিস্ট্রার্ড ডিলারের নাম ((NID সাথে মিল থাকতে হবে)         |         499
 স্বামী/স্ত্রীর জন্ম তারখি                                    |         498
 উপকার ভোগীর নাম (ইংরেজি) (NID) সাথে মিল থাকতে হবে        |         498
 স্বামী/স্ত্রী জন্ম তারিখ   নাম (NID সাথে মিল থাকতে হবে)      |         498
 উপকার ভোগীর নাম (বাংলা)    (NID) সাথে মিল থাকতে হবে      |         498
 রেজিস্টার্ড ডিলারের নাম (NID সাথে মিল থাকতে হবে।           |         498
 জন্ম তারিখ (NID) সাথে মিল থাকতে হবে                       |         498
 রেজিস্টার্ড ডিলারের মোবাইল নম্বর                            |         498
 Column1                                                  |         497
 উপকাোগীর নাম(ইংরেজি)                                     |         487
 মন্তব্য                                                    |         485
 উপকারভোগীর                                              +|         478
 নাম (ইংরেজি)                                             | 
 উপকারগীর নাম (ইংরেজিতে) (NID সাথে মিল থাকতে হবে          |         458
  রেজিস্ট্রার্ড ডিলারের এনআইডি নম্বর                          |         453
 রেজিষ্ট্রার্ড ডিলারের মোবাইল নং                             |         424
 উপকারভোগীর নাম (ইংরেজী)  নাম                             |         423
 রেজিস্টার্ড ডিলারের মোবাইল নং-                             |         400
 রেজিস্টার্ড ডিলারের নাম  (NID সাথে মিল থাকতে হবে)          |         400
 উপকার ভোগীর নাম (ইংরেজি) NID সাথে মিল থাকতে হবে)         |         400
 স্বামী/স্ত্রীর জন্ম তারিখ  (NID সাথে মিল থাকতে হবে)          |         400
 কার্ড                                                    +|         400
  নং                                                      | 
 স্বামী/স্ত্রীর জাতীয় পরিচয় নস্বর                             |         400
 ডিলারের Nid নং                                           |         399
 উপভোগকারীর নাম                                           |         399
 জাতীয় পরিচয়পত্র                                           |         399
 ওয়ার্ড                                                    |         399
 জন্মতরিখ                                                  |         399
 ভোক্তার নাম (ইংরেজিতে)                                    |         399
 ইউনিয়ন                                                   |         399
 স্বামী/ন্ত্রীর নাম                                          |         399
 স্বামী/স্ত্রীর জাতীয় পরিচয়পপত্র                              |         399
 ডিঃ নাম মোবাইল                                           |         399
 উপকার ভোগীর নাম (বাংলা) NID সাথে মিল থাকতে হবে)          |         392
 স্বামী.স্ত্রী জাতীয় পরিচয় নম্বর                              |         367
 রেজিঃ ডিলারের নাম                                        |         331
 স্বা/স্ত্রী নাম                                             |         331
 স্বা/স্ত্রী নাম জন্ম তারিখ                                   |         331
 এন.আই.ডি নং                                              |         331
 রেজিঃ ডিলারের এন.আই.ডি                                   |         331
 স্বা/স্ত্রী এন.আই.ডি নং                                     |         331
 রেজিঃ ডিলারের মোবাইল নং                                  |         331
 পিতার নাম/মাতার নাম                                      |         331
 রেজিস্টার্ড ডিলারের নাম                                    |         301
 রেজিস্টার্ড ডিলারের আইডি নম্বর                              |         301
 উপকারভোগীর জন্ম তারিখ                                     |         301
 রেজিষ্ট্রার্ড ডিলারের                                      +|         300
  এন আই ডি নং                                             | 
 স্বামী/স্ত্রী জন্ম তারিখ (NID অনুযায়ী)                        |         300
 স্বামী/স্ত্রীর নাম                                         +|         300
  (NID এর সাথে                                           +| 
 মিল থাকতে হবে)                                           | 
 গ্রামের  নাম                                              |         300
 ‘পিতার নাম                                               |         300
 স্বামী/স্ত্রীর জাতীয়                                       +|         300
  পরিচয়পত্র নং                                             | 
 জন্ম তারিখ (NID অনুয়ায়ী)                                   |         300
 রেজিষ্টার্ড ডিলারের এন আইডি নং                             |         300
 উপকারভোগীর নাম (ইংরেজিতে)                                |         300
 রেজিস্ট্রার্ড ডিলারের এন আইডি নম্বর                          |         300
  রেজিস্টার্ড ডিলারের নাম (nid সাথে মিল থাকতে হবে)          |         300
 উপকার ভোগীর নাম (বাংলায়)                                 |         300
 স্বামী /স্ত্রীর নাম                                         |         300
 উপকারভোগীর নাম(বাংলা)                                   +|         300
 (NID এর সাথে মিল                                        +| 
 থাকতে হবে)                                               | 
 স্বামী/স্ত্রীর জন্ম তারিখ                                   +|         300
 (NID এর সাথ                                             +| 
  মিল থাকতে হবে)                                          | 
 উপকারভোগীর নাম (ইংরেজী)Nid সাথে মিল থাকতে হবে            |         300
 উপকারভোগীর নাম                                          +|         300
