                          header                          | occurrences 
 উপকারভোগীর নাম (ইংরেজি)                                  |        9128
 Unnamed: 22                                              |        9077
 স্বামী/ স্ত্রীর নাম                                         |        8600
 রেজিষ্টার্ড ডিলারের নাম (NID সাথে মিল থাকতে হবে)           |        8362
 রেজিস্ট্রার্ড ডিলারের                                      +|        8246
 মোবাইল নম্বর                                              | 
 স্বামী-স্ত্রী জাতীয় পরিচয় নম্বর                              |        8229
 লিঙ্গ                                                     |        8123
 গ্রামের নাম                                               |        8064
 মোবাইল নং                                                |        7896
 স্বামী/স্ত্রীর জাতীয় পরিচয় পত্র নম্বর                         |        7880
 উপকার ভোগীর নাম (বাংলা)                                 +|        7622
 (NID সাথে মিল থাকতে হবে)                                 | 
 Unnamed: 23                                              |        7584
 মোবাইল নং                                               +|        7542
 (নিজ নামে)                                               | 
 পিতার নাম                                               +|        7394
                                                          | 
 স্বামী/স্ত্রীর নাম                                         +|        7392
 (NID সাথে মিল থাকতে হবে)                                 | 
 জন্ম তারিখ                                               +|        7392
 (NID সাথে মিল থাকতে হবে)                                 | 
 ক্র: নং                                                   |        7229
 রেজিস্টার্ড ডিলারের নাম                                    |        6939
 স্বামী/ স্ত্রীর জাতীয় পরিচয়পত্র                             +|        6868
 নম্বর                                                     | 
 স্বামী-স্ত্রীর নাম (NID সাথে মিল থাকতে হবে)                 |        6727
 ওয়ার্ড                                                   +|        6548
 নং                                                       | 
 ইউনিয়নের                                                +|        6513
 নাম                                                      | 
 ডিলারের মোবাইল নম্বর                                      |        6381
 উপকার ভোগীর নাম (ইংরেজি)                                 |        6290
 ক্রমিক নং                                                 |        6280
 রেজিস্ট্রার্ড ডিলারের নাম                                   |        6218
 কাড নং                                                   |        6191
 স্বামী/ স্ত্রীর জন্ম তারিখ (NID এর সাথে                     +|        6161
 মিল থাকতে হবে)                                           | 
 পিতার নাম                                                |        6159
 উপকার ভোগীর নাম                                         +|        6144
  (ইংরেজি) (NID সাথে মিল থাকতে হবে)                       | 
 উপকার ভোগীর নাম                                         +|        6144
  (বাংলা) (NID সাথে মিল থাকতে হবে)                        | 
 জাতীয় পরিচয়পত্র নং                                        |        6068
 উপকারভোগীর নাম                                           |        5898
 উপকারভোগীর নাম ইংরেজী                                    |        5885
 স্বামী/স্ত্রীর                                             +|        5796
 জাতীয় পরিচয়পত্র                                          +| 
 নাম্বার                                                   | 
 রেজিস্টার্ড                                               +|        5796
 ডিলারের                                                 +| 
 মোবাইল                                                  +| 
 নাম্বার                                                   | 
 রেজিষ্টার্ড                                               +|        5796
 ডিলারের                                                 +| 
 এনআইডি                                                  +| 
 নাম্বার                                                   | 
 জাতীয়                                                   +|        5796
 পরিচয়পত্র                                                +| 
 নং                                                       | 
 উপকারভোগীর নাম                                          +|        5796
 (বাংলা) NID এর                                          +| 
 সাথে মিল রেখে                                            | 
 স্বামী/স্ত্রী নাম                                          +|        5796
 NID এর সাথে                                             +| 
 মিল থাকতে হবে                                            | 
 রেজিষ্টার্ড ডিলারের                                       +|        5796
 নাম NID                                                 +| 
 সাথে মিল                                                +| 
 থাকতে হবে                                                | 
 জন্ম তারিখ NID                                           +|        5796
 এর সাথে মিল                                             +| 
 থাকতে হবে                                                | 
 ভোক্তার মোবাইল                                           +|        5796
 নং নিজ নামে                                              | 
 উপকারভোগীর                                              +|        5796
 নাম(ইংরেজী)                                             +| 
 NID সাথে                                                +| 
 মিল থাকতে                                               +| 
 হবে                                                      | 
 উপকারভোগীর নাম (ইংরেজী)                                  |        5648
 উপকার ভোগীর নাম.1                                        |        5639
 স্বামী-স্ত্রী জন্ম তারিখ                                     |        5595
 মোবাইল নং (নিজ নামে)                                     |        5536
 জাতীয় পরিচয় পত্র নং                                       |        5523
 স্বামী/স্ত্রীর জন্ম তারিখ                                    |        5379
 Unnamed: 15                                              |        5354
 স্বামী/স্ত্রীর নাম                                         +|        5241
 (NID সাথ মিল থাকতে হবে)                                  | 
 ওয়ার্ড নং                                                 |        5241
 স্বামী/স্ত্রীর জন্ম                                         +|        5204
 তারিখ                                                    | 
 উপকার ভোগীর নাম                                          |        5057
 রেজিস্ট্রার্ড ডিলারের নাম (NID) সাথে মিল থাকতে হবে          |        5037
 স্বামী/স্ত্রী জন্ম তারিখ (NID) সাথে মিল থাকতে হবে            |        5037
 উপকার ভোগীর নাম (বাংলা) (NID) সাথে মিল থাকতে হবে।        |        5037
 উপকারভোগীর নাম (ইংরেজি) (NID) সাথে মিল থাকতে হবে         |        5037
  জন্ম তারিখ                                               |        5037
 স্বামী/স্ত্রী নাম (NID) সাথে মিল থাকতে হবে                  |        5037
 স্বামী/স্ত্রী জাতীয় পরিচয় নম্বর                              |        5037
 ডিলারের মোবাইল নং                                        |        5026
 ধর্ম                                                      |        4936
 রেজিস্ট্রার্ড ডিলারের জাতীয় পরিচয়পত্র নম্বর                   |        4812
 উপকারভোগীর নাম(বাংলা) NID সাথে মিল থাকতে হবে             |        4812
 রেজিস্ট্রার্ড ডিলারের নাম (NID সাথে মিল থাকতে হবে)          |        4812
 উপকারভোগীর নাম(ইংরেজি) NID সাথে মিল থাকতে হবে            |        4812
 ওয়ার্ড                                                   +|        4790
 নং                                                       | 
 ক্রমিক নম্বর                                               |        4742
 স্বামী/স্ত্রীর জাতীয় পরিচয় পত্র নং                           |        4682
 ইউনিয়নের নাম                                             |        4589
 স্বামী/স্ত্রী নাম (NID) এর সাথে মিল থাকতে হবে               |        4554
 উপকারভোগীর নাম (ইংরেজী (NID) এর সাথে মিল থাকতে হবে       |        4554
 স্বামী/স্ত্রী জন্ম তারিখ (NID) এর সাথে মিল থাকতে হবে         |        4554
 গ্রামের                                                  +|        4503
 নাম                                                      | 
 স্বামী/স্ত্রী জন্ম                                          +|        4390
 তারিখ                                                    | 
 উপকার ভোগীর নাম (ইংরেজি)                                +|        4378
 (NID সাথে মিল থাকতে হবে)                                 | 
 পিতা/স্বামীর                                             +|        4372
 নাম                                                      | 
 রেজিস্ট্রার্ড                                              +|        4372
 ডিলারের নাম                                              | 
 কার্ড                                                    +|        4372
 নং                                                       | 
 উপকারভোগীর                                              +|        4372
 নাম                                                      | 
 রেজিস্ট্রার্ড                                              +|        4372
 ডিলারের এনআইডি                                           | 
 ইউনিয়নের                                                +|        4372
 নাম                                                      | 
 জাতীয়                                                   +|        4372
 পরিচয়পত্র নম্বর                                            | 
 স্বামী/ স্ত্রী                                             +|        4372
 জন্ম তারিখ                                                | 
 গ্রামের                                                  +|        4372
 নাম                                                      | 
